epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
67,227.507,0.5186,0.73415,0.39486,0.85145,0,0.94007,0.98529,0.98019,0.88009,0.94007,0.98529,0.98019,0.86815,0.48916,0.71304,0.3622,0.83698,0,0.000577782,0.000577782,0.000577782
68,229.347,0.50455,0.75028,0.37694,0.8447,0,0.93802,0.97123,0.98451,0.89238,0.93802,0.97123,0.98451,0.86485,0.4858,0.66276,0.35643,0.83343,0,0.000561279,0.000561279,0.000561279
69,231.296,0.50901,0.75996,0.38558,0.83991,0,0.93005,0.98529,0.98494,0.8904,0.93005,0.98529,0.98494,0.86578,0.46884,0.66516,0.34036,0.83407,0,0.000544776,0.000544776,0.000544776
70,233.511,0.50062,0.69327,0.37523,0.84055,0,0.92777,0.98529,0.98546,0.8869,0.92777,0.98529,0.98546,0.86427,0.46347,0.65868,0.34976,0.83132,0,0.000528272,0.000528272,0.000528272
71,237.228,0.48449,0.65659,0.36346,0.8338,0,0.91974,0.98529,0.98581,0.90205,0.91974,0.98529,0.98581,0.85522,0.45073,0.66254,0.34329,0.83051,0,0.000511769,0.000511769,0.000511769
72,239.011,0.54032,0.75538,0.3991,0.85828,0,0.92107,0.98529,0.986,0.88933,0.92107,0.98529,0.986,0.86762,0.46301,0.65988,0.34423,0.83056,0,0.000495266,0.000495266,0.000495266
73,241.02,0.53687,0.74355,0.40716,0.85356,0,0.92254,0.98266,0.98656,0.90082,0.92254,0.98266,0.98656,0.85967,0.45271,0.64689,0.35041,0.82794,0,0.000478762,0.000478762,0.000478762
74,242.768,0.51908,0.75845,0.38658,0.84398,0,0.92538,0.98529,0.9869,0.89492,0.92538,0.98529,0.9869,0.86658,0.45497,0.65743,0.34342,0.83037,0,0.000462259,0.000462259,0.000462259
75,244.623,0.51046,0.74521,0.38938,0.84467,0,0.9406,0.98529,0.98479,0.91202,0.9406,0.98529,0.98479,0.84827,0.4349,0.65339,0.33129,0.8292,0,0.000445756,0.000445756,0.000445756
76,246.43,0.50055,0.68555,0.36273,0.8544,0,0.94291,0.98426,0.98706,0.91259,0.94291,0.98426,0.98706,0.86911,0.44055,0.67348,0.33413,0.82962,0,0.000429253,0.000429253,0.000429253
77,248.35,0.52899,0.71397,0.39249,0.86203,0,0.94097,0.98529,0.98662,0.90529,0.94097,0.98529,0.98662,0.86664,0.45545,0.66357,0.34722,0.83032,0,0.000412749,0.000412749,0.000412749
78,250.063,0.51154,0.73367,0.38596,0.84133,0,0.94608,0.98451,0.98985,0.90119,0.94608,0.98451,0.98985,0.8575,0.45159,0.67284,0.34257,0.83028,0,0.000396246,0.000396246,0.000396246
79,251.732,0.51018,0.73717,0.40111,0.85521,0,0.94365,0.98246,0.99033,0.90986,0.94365,0.98246,0.99033,0.85548,0.45137,0.67865,0.32657,0.8307,0,0.000379743,0.000379743,0.000379743
80,253.391,0.50375,0.71372,0.37029,0.8422,0,0.94419,0.97713,0.99048,0.90144,0.94419,0.97713,0.99048,0.85417,0.46676,0.65746,0.3247,0.83376,0,0.000363239,0.000363239,0.000363239
81,255.192,0.50366,0.70566,0.35979,0.8539,0,0.94425,0.97395,0.9882,0.89063,0.94425,0.97395,0.9882,0.85666,0.45793,0.68075,0.32058,0.83264,0,0.000346736,0.000346736,0.000346736
82,256.78,0.51257,0.6851,0.36637,0.84237,0,0.94421,0.98529,0.9856,0.90042,0.94421,0.98529,0.9856,0.85437,0.45216,0.67991,0.31999,0.8308,0,0.000330233,0.000330233,0.000330233
83,261.75,0.4731,0.66468,0.35857,0.8413,0,0.9409,0.98529,0.9832,0.90032,0.9409,0.98529,0.9832,0.86966,0.45023,0.67219,0.32514,0.83082,0,0.000313729,0.000313729,0.000313729
84,266.729,0.47561,0.66177,0.35779,0.82433,0,0.93672,0.98529,0.98179,0.90353,0.93672,0.98529,0.98179,0.86083,0.44567,0.70073,0.33231,0.83113,0,0.000297226,0.000297226,0.000297226
85,268.337,0.4943,0.68464,0.35584,0.84198,0,0.92044,0.98529,0.98492,0.89726,0.92044,0.98529,0.98492,0.87397,0.44783,0.71475,0.3341,0.83341,0,0.000280723,0.000280723,0.000280723
86,269.976,0.47532,0.69873,0.33593,0.84102,0,0.92889,0.98248,0.98697,0.89127,0.92889,0.98248,0.98697,0.86879,0.44872,0.70399,0.33417,0.83607,0,0.00026422,0.00026422,0.00026422
87,274.614,0.47023,0.66656,0.34659,0.83581,0,0.94639,0.98498,0.98908,0.90528,0.94639,0.98498,0.98908,0.85961,0.44546,0.68462,0.32419,0.83679,0,0.000247716,0.000247716,0.000247716
88,280.723,0.49475,0.72773,0.36075,0.83917,0,0.94369,0.98529,0.98882,0.90381,0.94369,0.98529,0.98882,0.87039,0.44957,0.65759,0.31917,0.8357,0,0.000231213,0.000231213,0.000231213
89,284.888,0.47513,0.67181,0.33903,0.84116,0,0.93307,0.98529,0.98812,0.90412,0.93307,0.98529,0.98812,0.87382,0.45612,0.66115,0.31724,0.83778,0,0.00021471,0.00021471,0.00021471
90,293.237,0.46922,0.64118,0.34126,0.83412,0,0.92547,0.98529,0.98707,0.91217,0.92547,0.98529,0.98707,0.86913,0.45006,0.65436,0.30947,0.83589,0,0.000198206,0.000198206,0.000198206
91,298.993,0.41838,0.57405,0.32537,0.82616,0,0.92245,0.98529,0.98623,0.90346,0.92245,0.98529,0.98623,0.86498,0.45187,0.63883,0.30084,0.83456,0,0.000181703,0.000181703,0.000181703
92,300.638,0.40964,0.61748,0.31158,0.81424,0,0.92581,0.98529,0.98748,0.90123,0.92581,0.98529,0.98748,0.8725,0.45,0.63655,0.3112,0.83516,0,0.0001652,0.0001652,0.0001652
93,302.255,0.41153,0.58593,0.31754,0.82209,0,0.92911,0.98529,0.98772,0.90955,0.92911,0.98529,0.98772,0.87506,0.45059,0.6262,0.30957,0.83362,0,0.000148696,0.000148696,0.000148696
94,304.058,0.40199,0.55126,0.31359,0.82606,0,0.92889,0.98529,0.98642,0.9056,0.92889,0.98529,0.98642,0.87655,0.44908,0.62979,0.30742,0.83149,0,0.000132193,0.000132193,0.000132193
95,305.672,0.40672,0.56749,0.29963,0.8158,0,0.93316,0.98529,0.98687,0.91011,0.93316,0.98529,0.98687,0.87725,0.44902,0.64311,0.30931,0.82911,0,0.00011569,0.00011569,0.00011569
96,307.464,0.40902,0.56566,0.30252,0.83045,0,0.93516,0.98529,0.98735,0.91128,0.93516,0.98529,0.98735,0.87843,0.44125,0.65238,0.30104,0.82909,0,9.91865e-05,9.91865e-05,9.91865e-05
97,309.487,0.38907,0.54908,0.29496,0.82435,0,0.93445,0.98529,0.98729,0.91489,0.93445,0.98529,0.98729,0.86427,0.43885,0.64639,0.30136,0.82883,0,8.26832e-05,8.26832e-05,8.26832e-05
98,311.099,0.40485,0.54923,0.30175,0.81618,0,0.93666,0.98529,0.98729,0.91158,0.93666,0.98529,0.98729,0.86848,0.4401,0.63921,0.30724,0.82901,0,6.61799e-05,6.61799e-05,6.61799e-05
99,312.71,0.37992,0.55862,0.28524,0.82188,0,0.93716,0.98529,0.98729,0.90939,0.93716,0.98529,0.98729,0.87001,0.43658,0.63627,0.30682,0.82869,0,4.96766e-05,4.96766e-05,4.96766e-05
100,314.3,0.38529,0.56716,0.29121,0.8136,0,0.94111,0.98529,0.98729,0.90971,0.94111,0.98529,0.98729,0.87108,0.43628,0.63759,0.30548,0.82871,0,3.31733e-05,3.31733e-05,3.31733e-05
